image_stem,bleached_percentage,mean_raw_red_z,mean_albedo_z,mean_luminance_z,mean_saturation_z,median_raw_red_z,median_albedo_z,median_luminance_z,median_saturation_z
C2_Gy_ESb_T1_27nov24_CGomez_corr,0.07637411778346077,0.5167655289986408,0.7617933723504638,0.7403675490418292,0.4047457351588096,0.28451582119034813,0.5960566130640989,0.7986897438013234,0.6405866381459596
C2_Gy_ESb_T2_27nov24_CGomez_corr,0.183843557403043,0.09037612982317529,0.21227499375543146,-0.20181126505465646,-0.154924050532358,-0.3205509673296185,-0.013911896892849763,-0.21036737953617068,-0.2783217688262306
C2_Gy_ESb_T3_27nov24_CGomez_corr,0.29783315102484514,0.38553629406035894,1.1038027040345961,0.11914266024470826,0.2544476337759469,-0.16893917834467223,0.0066500427763438565,0.20896637464672388,0.41765851812933
C2_Gy_PM_T1_27nov24_CGomez_corr,0.18801197306203837,-0.7283578206443998,-0.7384807272561668,-1.2667826406967069,0.007972439273074321,-0.62418078878326,-0.5265054257845502,-1.2954640161634166,0.19660772448148528
C2_Gy_PM_T2_27nov24_CGomez_corr,0.21093916753629022,0.5287807428070842,0.1885742067113353,0.539410794676372,1.0996829053551482,0.12710907031694735,0.10520966454476967,0.5627943560865023,1.496223005702915
C2_Gy_PM_T3_27nov24_CGomez_corr,0.0,1.397072877240977,-0.5059808803390682,0.43268190250590133,0.21503242743716583,0.6777042004282166,0.028734311616043385,0.535739952107554,0.1416395814109959
C2_Gy_PP_T1_27nov24_CDaza_corr,0.06347505082697442,0.4327025846586917,-0.5581855133920948,-0.508716945971892,-1.1239428520466943,0.37566862344786495,-0.7133148358515544,-0.5900831399068336,-1.2111011006158052
C2_Gy_PP_T2_27nov24_CDaza_corr,0.0,0.033711078417167015,-0.6209645706920573,-0.4386314088981786,-0.7396224884705708,-0.05570172654852744,-0.5616617619224717,-0.5547091222102453,-0.971214117081734
C2_Gy_PP_T3_27nov24_CDaza_corr,0.09619764068414083,2.6205725004236284,0.119811122583419,0.3781367179544242,-0.5255772066117367,1.6803524520314936,0.05998607799393022,0.3110018844832758,-1.3063318884718962
C2_Gy_PSa_T1_27nov24_CDaza_corr,0.020554008641382623,2.3513137714342247,-1.0371900675524879,0.6586253024820363,1.1466006246578648,1.4228155939578826,-0.7002808428476981,0.7896240716876541,1.3067608262352228
C2_Gy_PSa_T2_27nov24_CDaza_corr,0.19554029689906952,-0.4931038714047293,0.24086015153189355,0.5249498313329684,-0.8885718149878252,-0.6405128830905874,-0.30999238977582505,0.5397582651326442,-0.797565139433926
